GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Database Job,org.entando.k8s.db.job,CreateSchemaCommand,32,122,1,5,7,38,3,11,2,9
Entando K8S Database Job,org.entando.k8s.db.job,PropertiesBasedDatabaseAdminConfig,7,79,0,2,1,17,1,13,1,12
Entando K8S Database Job,org.entando.k8s.db.job,DatabaseDialect.new DatabaseDialect() {...},0,208,0,0,0,37,0,9,0,9
Entando K8S Database Job,org.entando.k8s.db.job,DatabaseDialect,6,60,0,2,2,11,0,5,0,4
Entando K8S Database Job,org.entando.k8s.db.job,DatabaseDialect.new DatabaseDialect() {...},0,215,0,2,0,27,0,11,0,10
Entando K8S Database Job,org.entando.k8s.db.job,DatabaseDialect.new DatabaseDialect() {...},164,37,4,0,25,7,8,3,6,3
