GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Entando Plugin Deployments,org.entando.kubernetes.controller.plugin,EntandoPluginDeploymentResult,0,6,0,0,0,2,0,1,0,1
Entando K8S Controller for Entando Plugin Deployments,org.entando.kubernetes.controller.plugin,EntandoPluginDeployableContainer,0,205,0,2,0,37,0,19,0,18
Entando K8S Controller for Entando Plugin Deployments,org.entando.kubernetes.controller.plugin,EntandoPluginServerDeployable,0,88,0,2,0,17,0,11,0,10
Entando K8S Controller for Entando Plugin Deployments,org.entando.kubernetes.controller.plugin,EntandoPluginSidecarDeployableContainer,48,78,0,0,1,20,1,14,1,14
Entando K8S Controller for Entando Plugin Deployments,org.entando.kubernetes.controller.plugin,EntandoPluginController,9,68,0,2,4,15,2,4,2,3
