GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,EntandoKeycloakHelper,0,43,0,6,0,10,0,5,0,2
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakDeployable,0,101,0,4,0,21,0,13,0,11
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakDeployableContainer,17,407,1,11,0,70,2,25,1,20
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,EntandoKeycloakServerController,11,234,2,4,5,51,4,11,2,10
Entando K8S Controller for Keycloak,org.entando.kubernetes.controller.keycloakserver,KeycloakServiceDeploymentResult,0,6,0,0,0,2,0,1,0,1
